EMPLOYEE_CODE,DOCUMENT,FULL_NAME,DEPARTMENT
10000,000000001,João Silva,RH
10001,000000002,Maria Oliveira,TI
10002,000000003,Carlos Souza,Financeiro
10003,000000004,Ana Costa,Jurídico
10004,000000005,Pedro Santos,Operacional
10005,000000006,Lucas Pereira,RH
10006,000000007,Juliana Lima,TI
10007,000000008,Fernando Alves,Financeiro
10008,000000009,Patrícia Rocha,Jurídico
10009,000000010,Bruno Martins,Operacional
10010,000000011,Mariana Gonçalves,RH
10011,000000012,André Ribeiro,TI
10012,000000013,Renata Fernandes,Financeiro
10013,000000014,Thiago Carvalho,Jurídico
10014,000000015,Beatriz Almeida,Operacional
10015,000000016,Diego Azevedo,RH
10016,000000017,Letícia Teixeira,TI
10017,000000018,Marcelo Barros,Financeiro
10018,000000019,Carolina Freitas,Jurídico
10019,000000020,Paulo Batista,Operacional
10020,000000021,Vanessa Ramos,RH
10021,000000022,Roberto Nunes,TI
10022,000000023,Isabela Castro,Financeiro
10023,000000024,Alexandre Lopes,Jurídico
10024,000000025,Raquel Dias,Operacional
10025,000000026,Daniel Moreira,RH
10026,000000027,Bruna Cardoso,TI
10027,000000028,Henrique Pinto,Financeiro
10028,000000029,Simone Melo,Jurídico
10029,000000030,Leandro Faria,Operacional
10030,000000031,Cláudia Correia,RH
10031,000000032,Edson Tavares,TI
10032,000000033,Adriana Borges,Financeiro
10033,000000034,José Mendes,Jurídico
10034,000000035,Eliane Duarte,Operacional
10035,000000036,Marcos Rezende,RH
10036,000000037,Priscila Cunha,TI
10037,000000038,Antonio Guimarães,Financeiro
10038,000000039,Débora Pires,Jurídico
10039,000000040,Renato Barcellos,Operacional
10040,000000041,Luciana Matos,RH
10041,000000042,Otávio Silveira,TI
10042,000000043,Helena Brito,Financeiro
10043,000000044,Samuel Barreto,Jurídico
10044,000000045,Melissa Xavier,Operacional
10045,000000046,Augusto Siqueira,RH
10046,000000047,Patrícia Rezende,TI
10047,000000048,Bruno Figueiredo,Financeiro
10048,000000049,Juliana Amaral,Jurídico
10049,000000050,Leonardo Peixoto,Operacional
10050,000000051,Clara Nascimento,RH
